Report runtime: June 11th 242024, 4:42:22 pm,,,,,,The Port Authority of New York and New Jersey
User: aanantharajah,,,,,,,TRN-201 Transaction Research
 
Parameters for this report
Plazas: All,Lanes: All,Lane State: All,Special/Escort: All,Charged Class: All,Tag Class: All,Tag Agency: All,Tag: None,AVC Class: All,Speed: All,Mismatch Flag: All,Plan Type: All,Recon Type: All,Revenue Type: All,Plate State: All,Plate: None,Plate Type: All,Hide/Show Plate Data Column: Hide,Start Date: 06/11/2024,Start Time: 12:00 pm,End Date: 06/11/2024,End Time: 3:00 pm,Recon Code: All,Hot List Reason: All,Transaction Flag: All,Resolution: All,Single Tag Only: No,Flush Converted Only: No,Tag Protocols: All

Transaction Research
,,,,,,,Lane Config,,,,Transaction,,,,,,Tag,,,,,,Class,,,,Axles,,,,,,,,,,Revenue,,,,,,Hot List,,Processing,,,,,ATRN File,,,,,,,Reconciliation,,,,
BB,2,06/11/2024 12:23:56.006,06/11/2024 12:12:58.331,0,x,x,O,E,N,Y,1547946005,Spur,N,Y,8,0,005-05145856,V, ,N,IAG,2, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 12:32:57.806,06/11/2024 12:21:50.936,0,x,x,O,E,N,Y,1547950625,Spur,N,Y,8,0,008-15753042,V, ,N,IAG,22, ,2,523, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GB,6,06/11/2024 12:39:42.830,06/11/2024 12:27:16.156,0,x,x,O,E,N,Y,1547954042,Spur,N,Y,8,0,008-15057016,U, ,N,IAG,3, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,2,06/11/2024 12:39:57.807,06/11/2024 12:30:43.044,0,x,x,O,E,N,Y,1547954155,Spur,N,Y,8,0,004-13216523,I, ,N,IAG,20, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:40:21.924,06/11/2024 12:40:21.631,6,x,x,O,U,U,Y,1547956027,Norm,N,Y,1,34,005-03634573,V,N,Y,IAG,22, ,1,72, , ,N,2, ,175,203,501,2,0,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:40:23.401,06/11/2024 12:40:23.117,6,x,x,O,U,U,Y,1547956033,Norm,N,Y,1,34,005-03540954,V,N,Y,IAG,20, ,1,72, , ,N,2, ,174,212,505,2,0,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:36.324,06/11/2024 12:44:36.120,6,x,x,O,U,U,Y,1547957848,Norm,N,Y,1,24,008-13294013,B, ,Y,IAG,20, ,1,72, , ,N,2, ,181,188,529,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:37.883,06/11/2024 12:44:37.643,6,x,x,O,U,U,Y,1547957865,Norm,N,Y,1,22,022-14564749,B, ,Y,IAG,16, ,1,72, , ,N,2, ,169,189,491,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:42.676,06/11/2024 12:44:42.440,6,x,x,O,U,U,Y,1547957912,Norm,N,Y,1,22,008-16387392,V, ,Y,IAG,22, ,1,72, , ,N,2, ,159,190,484,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:44.914,06/11/2024 12:44:44.706,6,x,x,O,U,U,Y,1547957926,Norm,N,Y,1,21,005-03293321,V, ,Y,IAG,36, ,1,72, , ,N,2, ,140,174,482,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:46.358,06/11/2024 12:44:46.192,6,x,x,O,U,U,Y,1547957949,Norm,N,Y,1,19,022-13202883,V, ,Y,IAG,10, ,1,72, , ,N,2, ,178,194,515,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:49.586,06/11/2024 12:44:49.369,6,x,x,O,U,U,Y,1547957959,Norm,N,Y,1,27,022-15873002,V, ,Y,IAG,26, ,1,72, , ,N,2, ,162,193,476,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:52.188,06/11/2024 12:44:52.033,6,x,x,O,U,U,Y,1547957981,Norm,N,Y,1,27,008-10254543,V, ,Y,IAG,25, ,1,72, , ,N,2, ,135,180,514,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:54.074,06/11/2024 12:44:53.806,6,x,x,O,U,U,Y,1547958000,Norm,N,Y,1,27,008-15598468,V, ,Y,IAG,20, ,1,72, , ,N,2, ,205,183,551,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:56.699,06/11/2024 12:44:56.439,6,x,x,O,U,U,Y,1547958025,Norm,N,Y,1,24,022-14565345,V, ,Y,IAG,18, ,1,264, , ,N,2, ,178,167,481,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:44:58.019,06/11/2024 12:44:57.918,6,x,x,O,U,U,Y,1547958045,Norm,N,Y,1,23,086-00374524,V, ,Y,IAG,19, ,1,72, , ,N,2, ,161,194,464,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:00.148, ,6,x,x,O,U,U,Y,1547959715,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,186,189,599,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:03.290, ,6,x,x,O,U,U,Y,1547959733,Norm,N,Y,1,24,-, , , ,-, , , , , , ,N, , ,188,201,601,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:05.235, ,6,x,x,O,U,U,Y,1547959835,Norm,N,Y,1,25,-, , , ,-, , , , , , ,N, , ,239,180,599,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:08.082,06/11/2024 12:45:07.931,6,x,x,O,U,U,Y,1547958128,Norm,N,Y,1,24,008-10184936,B, ,Y,IAG,26, ,1,72, , ,N,2, ,169,179,514,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:10.081,06/11/2024 12:45:09.910,6,x,x,O,U,U,Y,1547958139,Norm,N,Y,1,23,008-09267788,V, ,Y,IAG,31, ,1,72, , ,N,2, ,169,190,511,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:12.774, ,6,x,x,O,U,U,Y,1547959907,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,187,203,596,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:14.308,06/11/2024 12:45:13.978,6,x,x,O,U,U,Y,1547958166,Norm,N,Y,1,22,008-15474352,V, ,Y,IAG,2, ,1,72, , ,N,2, ,198,178,458,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:16.498, ,6,x,x,O,U,U,Y,1547959943,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,171,192,518,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:19.648,06/11/2024 12:45:19.407,6,x,x,O,U,U,Y,1547958222,Norm,N,Y,1,19,008-12384476,V, ,Y,IAG,44, ,1,72, , ,N,2, ,140,191,470,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:22.105,06/11/2024 12:45:21.857,6,x,x,O,U,U,Y,1547958248,Norm,N,Y,1,18,008-09267618,B, ,Y,IAG,21, ,1,72, , ,N,2, ,159,180,466,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:24.724, ,6,x,x,O,U,U,Y,1547960008,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,187,220,589,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:26.833, ,6,x,x,O,U,U,Y,1547960021,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,147,191,556,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:33.822,06/11/2024 12:45:33.504,6,x,x,O,U,U,Y,1547958317,Norm,N,Y,1,32,008-07168239,U, ,N,IAG,18, ,1,266, , ,N,2, ,278,192,596,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:40.126,06/11/2024 12:45:39.897,6,x,x,O,U,U,Y,1547958365,Norm,N,Y,1,28,008-11293341,B, ,Y,IAG,27, ,1,72, , ,N,2, ,170,180,537,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:45.086,06/11/2024 12:45:44.701,6,x,x,O,U,U,Y,1547958398,Norm,N,Y,1,27,022-12226037,V, ,Y,IAG,22, ,2,523, , ,N,2, ,342,241,775,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:47.798,06/11/2024 12:45:47.702,6,x,x,O,U,U,Y,1547958404,Norm,N,Y,1,25,022-12870864,V,S,Y,IAG,31, ,1,72, , ,N,2, ,126,176,442,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:49.590,06/11/2024 12:45:49.446,6,x,x,O,U,U,Y,1547958414,Norm,N,Y,1,27,008-08505868,B,S,Y,IAG,28, ,1,72, , ,N,2, ,150,190,514,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:51.354,06/11/2024 12:45:51.131,6,x,x,O,U,U,Y,1547958438,Norm,N,Y,1,27,022-14100126,V, ,Y,IAG,20, ,1,72, , ,N,2, ,130,175,466,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:52.796,06/11/2024 12:45:52.624,6,x,x,O,U,U,Y,1547958439,Norm,N,Y,1,24,004-10986113,V, ,Y,IAG,25, ,1,72, , ,N,2, ,173,181,512,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:55.658,06/11/2024 12:45:55.412,6,x,x,O,U,U,Y,1547958623,Norm,N,Y,1,22,022-14306639,V,S,Y,IAG,22, ,1,72, , ,N,2, ,160,186,466,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:45:58.914, ,6,x,x,O,U,U,Y,1547960220,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,138,175,494,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:00.682,06/11/2024 12:46:00.407,6,x,x,O,U,U,Y,1547958733,Norm,N,Y,1,19,019-00819489,V, ,Y,IAG,22, ,11,136, , ,N,2, ,167,194,499,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:03.667,06/11/2024 12:46:03.394,6,x,x,O,U,U,Y,1547958756,Norm,N,Y,1,19,008-14625476,V, ,Y,IAG,33, ,1,72, , ,N,2, ,171,198,495,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:06.433, ,6,x,x,O,U,U,Y,1547960287,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,157,182,484,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:10.407,06/11/2024 12:46:10.097,6,x,x,O,U,U,Y,1547958803,Norm,N,Y,1,16,022-14549886,V, ,Y,IAG,42, ,1,72, , ,N,2, ,160,194,461,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:28.200,06/11/2024 12:46:27.967,6,x,x,O,U,U,Y,1547958959,Norm,N,Y,1,24,008-14078924,B, ,Y,IAG,37, ,1,72, , ,N,2, ,170,191,527,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:30.894,06/11/2024 12:46:30.600,6,x,x,O,U,U,Y,1547958986,Norm,N,Y,1,23,008-11134491,B,S,Y,IAG,13, ,1,72, , ,N,2, ,156,183,489,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
GB,6,06/11/2024 12:46:42.838,06/11/2024 12:34:18.798,0,x,x,O,E,N,Y,1547957466,Spur,N,Y,8,0,064-14705735,I, ,N,SeGO,15, ,1,8, , ,N, , ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GB,6,06/11/2024 12:46:42.838,06/11/2024 12:34:18.739,0,x,x,O,E,N,Y,1547957467,Spur,N,Y,8,0,004-12558275,V, ,N,IAG,7, ,5,791, , ,N,5, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GB,6,06/11/2024 12:46:42.838,06/11/2024 12:37:41.173,0,x,x,O,E,N,Y,1547957468,Spur,N,Y,8,0,008-16138652,V, ,N,IAG,6, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:47.270,06/11/2024 12:46:47.043,6,x,x,O,U,U,Y,1547959127,Norm,N,Y,1,26,008-15654627,V, ,Y,IAG,34, ,1,72, , ,N,2, ,167,197,528,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:49.680, ,6,x,x,O,U,U,Y,1547960625,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,138,175,506,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:53.714,06/11/2024 12:46:53.524,6,x,x,O,U,U,Y,1547959178,Norm,N,Y,1,24,022-12982114,V, ,Y,IAG,31, ,1,72, , ,N,2, ,162,187,459,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:55.621,06/11/2024 12:46:55.445,6,x,x,O,U,U,Y,1547959190,Norm,N,Y,1,23,008-14941234,B, ,Y,IAG,40, ,1,72, , ,N,2, ,158,186,461,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:46:57.287,06/11/2024 12:46:57.078,6,x,x,O,U,U,Y,1547959204,Norm,N,Y,1,21,022-10073673,V,SC,Y,IAG,36, ,1,72, , ,N,2, ,172,202,517,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,2,06/11/2024 12:46:57.807,06/11/2024 12:35:09.004,0,x,x,O,E,N,Y,1547957544,Spur,N,Y,8,0,008-10699457,V, ,N,IAG,25, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,2,06/11/2024 12:46:57.807,06/11/2024 12:38:34.373,0,x,x,O,E,N,Y,1547957545,Spur,N,Y,8,0,008-11517773,V, ,N,IAG,17, ,2,523, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:00.395,06/11/2024 12:47:00.116,6,x,x,O,U,U,Y,1547959317,Norm,N,Y,1,24,005-03926222,V, ,Y,IAG,19, ,1,72, , ,N,2, ,177,185,520,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:04.177,06/11/2024 12:47:03.926,6,x,x,O,U,U,Y,1547959341,Norm,N,Y,1,31,008-12216151,V, ,Y,IAG,27, ,1,266, , ,N,2, ,207,200,549,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:06.150,06/11/2024 12:47:05.840,6,x,x,O,U,U,Y,1547959358,Norm,N,Y,1,30,008-12929687,B,C,Y,IAG,9, ,1,72, , ,N,2, ,189,191,593,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:07.695,06/11/2024 12:47:07.399,6,x,x,O,U,U,Y,1547959382,Norm,N,Y,1,28,004-11338264,V, ,Y,IAG,21, ,1,266, , ,N,2, ,203,212,545,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:08.870,06/11/2024 12:47:08.686,6,x,x,O,U,U,Y,1547959394,Norm,N,Y,1,25,022-14659889,V, ,Y,IAG,20, ,1,72, , ,N,2, ,175,189,491,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:11.270, ,6,x,x,O,U,U,Y,1547960766,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,161,195,503,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:16.082, ,6,x,x,O,U,U,Y,1547960815,Norm,N,Y,1,23,-, , , ,-, , , , , , ,N, , ,137,171,471,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:22.225,06/11/2024 12:47:22.017,6,x,x,O,U,U,Y,1547959482,Norm,N,Y,1,21,005-03634573,V,N,Y,IAG,37, ,1,72, , ,N,2, ,174,197,506,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:24.049,06/11/2024 12:47:23.820,6,x,x,O,U,U,Y,1547959497,Norm,N,Y,1,21,005-03540954,V,N,Y,IAG,35, ,1,72, , ,N,2, ,174,208,513,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:26.418,06/11/2024 12:47:26.226,6,x,x,O,U,U,Y,1547959510,Norm,N,Y,1,21,008-13177798,V,C,Y,IAG,39, ,1,72, , ,N,2, ,163,179,490,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:47:48.563, ,6,x,x,O,U,U,Y,1547961034,Norm,N,Y,1,30,-, , , ,-, , , , , , ,N, , ,278,216,669,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:05.842,06/11/2024 12:48:05.762,6,x,x,O,U,U,Y,1547959778,Norm,N,Y,1,37,022-10233410,V, ,Y,IAG,22, ,1,72, , ,N,2, ,165,174,472,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:11.613, ,6,x,x,O,U,U,Y,1547961191,Norm,N,Y,1,29,-, , , ,-, , , , , , ,N, , ,159,183,471,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:15.667,06/11/2024 12:48:15.340,6,x,x,O,U,U,Y,1547959922,Norm,N,Y,1,24,008-14771540,V, ,Y,IAG,26, ,1,522, , ,N,2, ,204,182,548,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:18.825,06/11/2024 12:48:18.702,6,x,x,O,U,U,Y,1547959954,Norm,N,Y,1,28,005-04149810,V, ,Y,IAG,19, ,1,72, , ,N,2, ,155,185,457,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:28.477, ,6,x,x,O,U,U,Y,1547961425,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,252,213,550,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:30.858,06/11/2024 12:48:30.649,6,x,x,O,U,U,Y,1547960035,Norm,N,Y,1,26,008-11473397,V, ,Y,IAG,19, ,1,72, , ,N,2, ,174,187,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:33.937,06/11/2024 12:48:33.614,6,x,x,O,U,U,Y,1547960053,Norm,N,Y,1,30,022-09800266,V, ,Y,IAG,22, ,1,72, , ,N,2, ,263,201,617,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:36.245,06/11/2024 12:48:36.138,6,x,x,O,U,U,Y,1547960081,Norm,N,Y,1,27,022-16481304,V, ,Y,IAG,21, ,1,72, , ,N,2, ,160,187,464,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:38.131,06/11/2024 12:48:37.845,6,x,x,O,U,U,Y,1547960095,Norm,N,Y,1,30,005-03928583,V, ,Y,IAG,25, ,1,72, , ,N,2, ,206,203,564,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:40.091,06/11/2024 12:48:39.809,6,x,x,O,U,U,Y,1547960108,Norm,N,Y,1,27,004-11043943,V, ,Y,IAG,21, ,1,266, , ,N,2, ,202,216,548,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:42.248,06/11/2024 12:48:42.060,6,x,x,O,U,U,Y,1547960131,Norm,N,Y,1,26,022-11122012,B, ,Y,IAG,26, ,1,72, , ,N,2, ,184,197,491,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:47.341,06/11/2024 12:48:47.048,6,x,x,O,U,U,Y,1547960154,Norm,N,Y,1,25,005-04713495,V, ,Y,IAG,28, ,1,72, , ,N,2, ,178,203,581,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:49.251,06/11/2024 12:48:48.924,6,x,x,O,U,U,Y,1547960155,Norm,N,Y,1,22,008-12691580,V,S,Y,IAG,26, ,1,72, , ,N,2, ,177,189,532,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:50.855,06/11/2024 12:48:50.689,6,x,x,O,U,U,Y,1547960166,Norm,N,Y,1,22,005-03849590,V, ,Y,IAG,41, ,1,72, , ,N,2, ,135,162,458,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:53.091,06/11/2024 12:48:52.904,6,x,x,O,U,U,Y,1547960178,Norm,N,Y,1,21,005-04502261,V, ,Y,IAG,34, ,1,72, , ,N,2, ,175,185,471,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:56.568,06/11/2024 12:48:56.332,6,x,x,O,U,U,Y,1547960201,Norm,N,Y,1,20,008-14262593,V,C,Y,IAG,22, ,1,72, , ,N,2, ,163,191,503,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:48:58.985,06/11/2024 12:48:58.768,6,x,x,O,U,U,Y,1547960219,Norm,N,Y,1,21,005-03896458,U, ,N,IAG,31, ,1,72, , ,N,2, ,178,169,498,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:49:00.933,06/11/2024 12:49:00.636,6,x,x,O,U,U,Y,1547960249,Norm,N,Y,1,19,008-14593165,V, ,Y,IAG,35, ,1,72, , ,N,2, ,142,184,490,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:49:04.393,06/11/2024 12:49:04.263,6,x,x,O,U,U,Y,1547960263,Norm,N,Y,1,27,004-12655020,V, ,Y,IAG,14, ,1,72, , ,N,2, ,169,197,500,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:49:24.851,06/11/2024 12:49:24.605,6,x,x,O,U,U,Y,1547960427,Norm,N,Y,1,25,008-15436301,V, ,Y,IAG,22, ,1,72, , ,N,2, ,172,187,505,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 12:49:32.020,06/11/2024 12:49:31.881,6,x,x,O,U,U,Y,1547960479,Norm,N,Y,1,32,004-09636680,V,SC,Y,IAG,18, ,1,72, , ,N,2, ,169,185,485,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
